iter	Passed	Remaining
197	1106	1687
198	1113	1684
199	1118	1678
200	1125	1673
201	1130	1667
202	1136	1662
203	1142	1657
204	1147	1651
205	1153	1646
206	1159	1641
207	1165	1636
208	1170	1630
209	1176	1624
210	1181	1618
211	1186	1611
212	1192	1606
213	1198	1602
214	1204	1596
215	1209	1590
216	1215	1585
217	1221	1579
218	1227	1574
219	1232	1568
220	1237	1562
221	1242	1555
222	1247	1550
223	1252	1543
224	1257	1536
225	1263	1531
226	1269	1526
227	1275	1521
228	1281	1516
229	1286	1510
230	1291	1504
231	1296	1497
232	1301	1491
233	1306	1485
234	1311	1479
235	1317	1473
236	1322	1468
237	1329	1463
238	1335	1457
239	1341	1453
240	1346	1447
241	1352	1441
242	1358	1436
243	1363	1430
244	1368	1424
245	1374	1419
246	1379	1413
247	1385	1408
248	1391	1402
249	1396	1396
250	1402	1391
251	1407	1384
252	1413	1379
253	1418	1374
254	1424	1368
255	1430	1363
256	1435	1357
257	1440	1351
258	1446	1345
259	1452	1341
260	1458	1335
261	1464	1330
262	1469	1324
263	1475	1318
264	1481	1314
265	1487	1308
266	1492	1302
267	1498	1296
268	1502	1290
269	1508	1285
270	1513	1278
271	1518	1272
272	1524	1267
273	1529	1261
274	1534	1255
275	1539	1249
276	1545	1244
277	1550	1238
278	1556	1232
279	1561	1227
280	1567	1221
281	1572	1215
282	1578	1210
283	1583	1204
284	1590	1199
285	1595	1194
286	1602	1189
287	1606	1182
288	1612	1177
289	1618	1172
290	1624	1166
291	1628	1160
292	1633	1153
293	1639	1148
294	1644	1142
295	1650	1137
296	1656	1131
297	1661	1126
298	1667	1120
299	1672	1114
300	1677	1109
301	1683	1103
302	1688	1097
303	1693	1091
304	1699	1086
305	1705	1081
306	1710	1075
307	1716	1069
308	1722	1064
309	1727	1058
310	1733	1053
311	1739	1047
312	1745	1042
313	1749	1036
314	1756	1031
315	1761	1025
316	1767	1020
317	1772	1014
318	1778	1008
319	1785	1004
320	1791	998
321	1796	993
322	1802	987
323	1807	981
324	1812	975
325	1817	970
326	1822	964
327	1828	958
328	1832	952
329	1840	948
330	1846	942
331	1851	936
332	1856	930
333	1861	925
334	1866	919
335	1872	913
336	1878	908
337	1883	902
338	1888	896
339	1894	891
340	1898	885
341	1904	879
342	1910	874
343	1916	868
344	1922	863
345	1928	858
346	1933	852
347	1939	847
348	1945	841
349	1950	835
350	1956	830
351	1961	824
352	1966	818
353	1971	813
354	1978	808
355	1983	802
356	1989	796
357	1995	791
358	2000	785
359	2006	780
360	2011	774
361	2016	768
362	2022	763
363	2028	757
364	2034	752
365	2039	746
366	2044	740
367	2049	735
368	2054	729
369	2060	723
370	2064	717
371	2069	712
372	2075	706
373	2080	700
374	2085	695
375	2091	689
376	2096	684
377	2101	678
378	2106	672
379	2113	667
380	2118	661
381	2125	656
382	2130	650
383	2136	645
384	2142	639
385	2147	634
386	2152	628
387	2157	622
388	2163	617
389	2168	611
390	2174	606
391	2179	600
392	2184	594
393	2189	589
394	2196	583
395	2201	578
396	2205	572
397	2211	566
398	2217	561
399	2222	555
400	2227	549
401	2231	544
402	2236	538
403	2242	532
404	2247	527
405	2253	521
406	2259	516
407	2266	511
408	2271	505
409	2276	499
410	2281	494
411	2286	488
412	2293	483
413	2298	477
414	2303	471
415	2309	466
416	2314	460
417	2321	455
418	2327	449
419	2333	444
420	2338	438
421	2344	433
422	2350	427
423	2354	422
424	2360	416
425	2365	410
426	2371	405
427	2378	400
428	2383	394
429	2389	388
430	2394	383
431	2399	377
432	2405	372
433	2411	366
434	2417	361
435	2425	356
436	2430	350
437	2435	344
438	2441	339
439	2447	333
440	2452	328
441	2458	322
442	2464	317
443	2469	311
444	2474	305
445	2479	300
446	2484	294
447	2491	289
448	2495	283
449	2500	277
450	2505	272
451	2511	266
452	2516	261
453	2524	255
454	2529	250
455	2535	244
456	2540	239
457	2546	233
458	2552	227
459	2556	222
460	2562	216
461	2568	211
462	2573	205
463	2578	200
464	2584	194
465	2589	188
466	2595	183
467	2600	177
468	2605	172
469	2611	166
470	2618	161
471	2624	155
472	2629	150
473	2635	144
474	2642	139
475	2648	133
476	2653	127
477	2659	122
478	2665	116
479	2670	111
480	2675	105
481	2680	100
482	2685	94
483	2691	88
484	2695	83
485	2702	77
486	2707	72
487	2712	66
488	2717	61
489	2724	55
490	2730	50
491	2735	44
492	2740	38
493	2746	33
494	2751	27
495	2757	22
496	2761	16
497	2766	11
498	2772	5
499	2777	0
