Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20080809_NIH_EWY_POS_032701	Extraction		none	20080809_NIH_EWY_POS_032701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_032701	FILES/20080809_NIH_EWY_POS_032701.CDF	Data transformation	20080809_NIH_EWY_POS_032701	FILES/20080809_NIH_EWY_POS_0327.mzML	Metabolite identification	20080809_NIH_EWY_POS_032701	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_032801	Extraction		none	20080809_NIH_EWY_POS_032801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_032801	FILES/20080809_NIH_EWY_POS_032801.CDF	Data transformation	20080809_NIH_EWY_POS_032801	FILES/20080809_NIH_EWY_POS_0328.mzML	Metabolite identification	20080809_NIH_EWY_POS_032801	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_032901	Extraction		none	20080809_NIH_EWY_POS_032901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_032901	FILES/20080809_NIH_EWY_POS_032901.CDF	Data transformation	20080809_NIH_EWY_POS_032901	FILES/20080809_NIH_EWY_POS_0329.mzML	Metabolite identification	20080809_NIH_EWY_POS_032901	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_033101	Extraction		none	20080809_NIH_EWY_POS_033101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_033101	FILES/20080809_NIH_EWY_POS_033101.CDF	Data transformation	20080809_NIH_EWY_POS_033101	FILES/20080809_NIH_EWY_POS_0331.mzML	Metabolite identification	20080809_NIH_EWY_POS_033101	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_033201	Extraction		none	20080809_NIH_EWY_POS_033201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_033201	FILES/20080809_NIH_EWY_POS_033201.CDF	Data transformation	20080809_NIH_EWY_POS_033201	FILES/20080809_NIH_EWY_POS_0332.mzML	Metabolite identification	20080809_NIH_EWY_POS_033201	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_033301	Extraction		none	20080809_NIH_EWY_POS_033301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_033301	FILES/20080809_NIH_EWY_POS_033301.CDF	Data transformation	20080809_NIH_EWY_POS_033301	FILES/20080809_NIH_EWY_POS_0333.mzML	Metabolite identification	20080809_NIH_EWY_POS_033301	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_033401	Extraction		none	20080809_NIH_EWY_POS_033401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_033401	FILES/20080809_NIH_EWY_POS_033401.CDF	Data transformation	20080809_NIH_EWY_POS_033401	FILES/20080809_NIH_EWY_POS_0334.mzML	Metabolite identification	20080809_NIH_EWY_POS_033401	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_033501	Extraction		none	20080809_NIH_EWY_POS_033501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_033501	FILES/20080809_NIH_EWY_POS_033501.CDF	Data transformation	20080809_NIH_EWY_POS_033501	FILES/20080809_NIH_EWY_POS_0335.mzML	Metabolite identification	20080809_NIH_EWY_POS_033501	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_033601	Extraction		none	20080809_NIH_EWY_POS_033601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_033601	FILES/20080809_NIH_EWY_POS_033601.CDF	Data transformation	20080809_NIH_EWY_POS_033601	FILES/20080809_NIH_EWY_POS_0336.mzML	Metabolite identification	20080809_NIH_EWY_POS_033601	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_033701	Extraction		none	20080809_NIH_EWY_POS_033701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_033701	FILES/20080809_NIH_EWY_POS_033701.CDF	Data transformation	20080809_NIH_EWY_POS_033701	FILES/20080809_NIH_EWY_POS_0337.mzML	Metabolite identification	20080809_NIH_EWY_POS_033701	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_033801	Extraction		none	20080809_NIH_EWY_POS_033801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_033801	FILES/20080809_NIH_EWY_POS_033801.CDF	Data transformation	20080809_NIH_EWY_POS_033801	FILES/20080809_NIH_EWY_POS_0338.mzML	Metabolite identification	20080809_NIH_EWY_POS_033801	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_033901	Extraction		none	20080809_NIH_EWY_POS_033901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_033901	FILES/20080809_NIH_EWY_POS_033901.CDF	Data transformation	20080809_NIH_EWY_POS_033901	FILES/20080809_NIH_EWY_POS_0339.mzML	Metabolite identification	20080809_NIH_EWY_POS_033901	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_034001	Extraction		none	20080809_NIH_EWY_POS_034001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_034001	FILES/20080809_NIH_EWY_POS_034001.CDF	Data transformation	20080809_NIH_EWY_POS_034001	FILES/20080809_NIH_EWY_POS_0340.mzML	Metabolite identification	20080809_NIH_EWY_POS_034001	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_034101	Extraction		none	20080809_NIH_EWY_POS_034101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_034101	FILES/20080809_NIH_EWY_POS_034101.CDF	Data transformation	20080809_NIH_EWY_POS_034101	FILES/20080809_NIH_EWY_POS_0341.mzML	Metabolite identification	20080809_NIH_EWY_POS_034101	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_034301	Extraction		none	20080809_NIH_EWY_POS_034301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_034301	FILES/20080809_NIH_EWY_POS_034301.CDF	Data transformation	20080809_NIH_EWY_POS_034301	FILES/20080809_NIH_EWY_POS_0343.mzML	Metabolite identification	20080809_NIH_EWY_POS_034301	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_034401	Extraction		none	20080809_NIH_EWY_POS_034401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_034401	FILES/20080809_NIH_EWY_POS_034401.CDF	Data transformation	20080809_NIH_EWY_POS_034401	FILES/20080809_NIH_EWY_POS_0344.mzML	Metabolite identification	20080809_NIH_EWY_POS_034401	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_034501	Extraction		none	20080809_NIH_EWY_POS_034501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_034501	FILES/20080809_NIH_EWY_POS_034501.CDF	Data transformation	20080809_NIH_EWY_POS_034501	FILES/20080809_NIH_EWY_POS_0345.mzML	Metabolite identification	20080809_NIH_EWY_POS_034501	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_034601	Extraction		none	20080809_NIH_EWY_POS_034601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_034601	FILES/20080809_NIH_EWY_POS_034601.CDF	Data transformation	20080809_NIH_EWY_POS_034601	FILES/20080809_NIH_EWY_POS_0346.mzML	Metabolite identification	20080809_NIH_EWY_POS_034601	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_034801	Extraction		none	20080809_NIH_EWY_POS_034801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_034801	FILES/20080809_NIH_EWY_POS_034801.CDF	Data transformation	20080809_NIH_EWY_POS_034801	FILES/20080809_NIH_EWY_POS_0348.mzML	Metabolite identification	20080809_NIH_EWY_POS_034801	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_034901	Extraction		none	20080809_NIH_EWY_POS_034901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_034901	FILES/20080809_NIH_EWY_POS_034901.CDF	Data transformation	20080809_NIH_EWY_POS_034901	FILES/20080809_NIH_EWY_POS_0349.mzML	Metabolite identification	20080809_NIH_EWY_POS_034901	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_035001	Extraction		none	20080809_NIH_EWY_POS_035001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_035001	FILES/20080809_NIH_EWY_POS_035001.CDF	Data transformation	20080809_NIH_EWY_POS_035001	FILES/20080809_NIH_EWY_POS_0350.mzML	Metabolite identification	20080809_NIH_EWY_POS_035001	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_035101	Extraction		none	20080809_NIH_EWY_POS_035101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_035101	FILES/20080809_NIH_EWY_POS_035101.CDF	Data transformation	20080809_NIH_EWY_POS_035101	FILES/20080809_NIH_EWY_POS_0351.mzML	Metabolite identification	20080809_NIH_EWY_POS_035101	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_035201	Extraction		none	20080809_NIH_EWY_POS_035201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_035201	FILES/20080809_NIH_EWY_POS_035201.CDF	Data transformation	20080809_NIH_EWY_POS_035201	FILES/20080809_NIH_EWY_POS_0352.mzML	Metabolite identification	20080809_NIH_EWY_POS_035201	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_035301	Extraction		none	20080809_NIH_EWY_POS_035301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_035301	FILES/20080809_NIH_EWY_POS_035301.CDF	Data transformation	20080809_NIH_EWY_POS_035301	FILES/20080809_NIH_EWY_POS_0353.mzML	Metabolite identification	20080809_NIH_EWY_POS_035301	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_035601	Extraction		none	20080809_NIH_EWY_POS_035601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_035601	FILES/20080809_NIH_EWY_POS_035601.CDF	Data transformation	20080809_NIH_EWY_POS_035601	FILES/20080809_NIH_EWY_POS_0356.mzML	Metabolite identification	20080809_NIH_EWY_POS_035601	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_035701	Extraction		none	20080809_NIH_EWY_POS_035701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_035701	FILES/20080809_NIH_EWY_POS_035701.CDF	Data transformation	20080809_NIH_EWY_POS_035701	FILES/20080809_NIH_EWY_POS_0357.mzML	Metabolite identification	20080809_NIH_EWY_POS_035701	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_035801	Extraction		none	20080809_NIH_EWY_POS_035801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_035801	FILES/20080809_NIH_EWY_POS_035801.CDF	Data transformation	20080809_NIH_EWY_POS_035801	FILES/20080809_NIH_EWY_POS_0358.mzML	Metabolite identification	20080809_NIH_EWY_POS_035801	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_035901	Extraction		none	20080809_NIH_EWY_POS_035901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_035901	FILES/20080809_NIH_EWY_POS_035901.CDF	Data transformation	20080809_NIH_EWY_POS_035901	FILES/20080809_NIH_EWY_POS_0359.mzML	Metabolite identification	20080809_NIH_EWY_POS_035901	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_036001	Extraction		none	20080809_NIH_EWY_POS_036001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_036001	FILES/20080809_NIH_EWY_POS_036001.CDF	Data transformation	20080809_NIH_EWY_POS_036001	FILES/20080809_NIH_EWY_POS_0360.mzML	Metabolite identification	20080809_NIH_EWY_POS_036001	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_036101	Extraction		none	20080809_NIH_EWY_POS_036101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_036101	FILES/20080809_NIH_EWY_POS_036101.CDF	Data transformation	20080809_NIH_EWY_POS_036101	FILES/20080809_NIH_EWY_POS_0361.mzML	Metabolite identification	20080809_NIH_EWY_POS_036101	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_036201	Extraction		none	20080809_NIH_EWY_POS_036201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_036201	FILES/20080809_NIH_EWY_POS_036201.CDF	Data transformation	20080809_NIH_EWY_POS_036201	FILES/20080809_NIH_EWY_POS_0362.mzML	Metabolite identification	20080809_NIH_EWY_POS_036201	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_036301	Extraction		none	20080809_NIH_EWY_POS_036301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_036301	FILES/20080809_NIH_EWY_POS_036301.CDF	Data transformation	20080809_NIH_EWY_POS_036301	FILES/20080809_NIH_EWY_POS_0363.mzML	Metabolite identification	20080809_NIH_EWY_POS_036301	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_036501	Extraction		none	20080809_NIH_EWY_POS_036501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_036501	FILES/20080809_NIH_EWY_POS_036501.CDF	Data transformation	20080809_NIH_EWY_POS_036501	FILES/20080809_NIH_EWY_POS_0365.mzML	Metabolite identification	20080809_NIH_EWY_POS_036501	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_036601	Extraction		none	20080809_NIH_EWY_POS_036601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_036601	FILES/20080809_NIH_EWY_POS_036601.CDF	Data transformation	20080809_NIH_EWY_POS_036601	FILES/20080809_NIH_EWY_POS_0366.mzML	Metabolite identification	20080809_NIH_EWY_POS_036601	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_036701	Extraction		none	20080809_NIH_EWY_POS_036701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_036701	FILES/20080809_NIH_EWY_POS_036701.CDF	Data transformation	20080809_NIH_EWY_POS_036701	FILES/20080809_NIH_EWY_POS_0367.mzML	Metabolite identification	20080809_NIH_EWY_POS_036701	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_036801	Extraction		none	20080809_NIH_EWY_POS_036801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_036801	FILES/20080809_NIH_EWY_POS_036801.CDF	Data transformation	20080809_NIH_EWY_POS_036801	FILES/20080809_NIH_EWY_POS_0368.mzML	Metabolite identification	20080809_NIH_EWY_POS_036801	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_036901	Extraction		none	20080809_NIH_EWY_POS_036901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_036901	FILES/20080809_NIH_EWY_POS_036901.CDF	Data transformation	20080809_NIH_EWY_POS_036901	FILES/20080809_NIH_EWY_POS_0369.mzML	Metabolite identification	20080809_NIH_EWY_POS_036901	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_037001	Extraction		none	20080809_NIH_EWY_POS_037001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_037001	FILES/20080809_NIH_EWY_POS_037001.CDF	Data transformation	20080809_NIH_EWY_POS_037001	FILES/20080809_NIH_EWY_POS_0370.mzML	Metabolite identification	20080809_NIH_EWY_POS_037001	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_037101	Extraction		none	20080809_NIH_EWY_POS_037101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_037101	FILES/20080809_NIH_EWY_POS_037101.CDF	Data transformation	20080809_NIH_EWY_POS_037101	FILES/20080809_NIH_EWY_POS_0371.mzML	Metabolite identification	20080809_NIH_EWY_POS_037101	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_037201	Extraction		none	20080809_NIH_EWY_POS_037201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_037201	FILES/20080809_NIH_EWY_POS_037201.CDF	Data transformation	20080809_NIH_EWY_POS_037201	FILES/20080809_NIH_EWY_POS_0372.mzML	Metabolite identification	20080809_NIH_EWY_POS_037201	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_037301	Extraction		none	20080809_NIH_EWY_POS_037301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_037301	FILES/20080809_NIH_EWY_POS_037301.CDF	Data transformation	20080809_NIH_EWY_POS_037301	FILES/20080809_NIH_EWY_POS_0373.mzML	Metabolite identification	20080809_NIH_EWY_POS_037301	m_MTBLS28_POS_v2_maf.tsv
