Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20080809_NIH_EWY_POS_002001	Extraction		none	20080809_NIH_EWY_POS_002001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_002001	FILES/20080809_NIH_EWY_POS_002001.CDF	Data transformation	20080809_NIH_EWY_POS_002001	FILES/20080809_NIH_EWY_POS_0020.mzML	Metabolite identification	20080809_NIH_EWY_POS_002001	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_002101	Extraction		none	20080809_NIH_EWY_POS_002101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_002101	FILES/20080809_NIH_EWY_POS_002101.CDF	Data transformation	20080809_NIH_EWY_POS_002101	FILES/20080809_NIH_EWY_POS_0021.mzML	Metabolite identification	20080809_NIH_EWY_POS_002101	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_002201	Extraction		none	20080809_NIH_EWY_POS_002201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_002201	FILES/20080809_NIH_EWY_POS_002201.CDF	Data transformation	20080809_NIH_EWY_POS_002201	FILES/20080809_NIH_EWY_POS_0022.mzML	Metabolite identification	20080809_NIH_EWY_POS_002201	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_002301	Extraction		none	20080809_NIH_EWY_POS_002301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_002301	FILES/20080809_NIH_EWY_POS_002301.CDF	Data transformation	20080809_NIH_EWY_POS_002301	FILES/20080809_NIH_EWY_POS_0023.mzML	Metabolite identification	20080809_NIH_EWY_POS_002301	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_002401	Extraction		none	20080809_NIH_EWY_POS_002401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_002401	FILES/20080809_NIH_EWY_POS_002401.CDF	Data transformation	20080809_NIH_EWY_POS_002401	FILES/20080809_NIH_EWY_POS_0024.mzML	Metabolite identification	20080809_NIH_EWY_POS_002401	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_002501	Extraction		none	20080809_NIH_EWY_POS_002501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_002501	FILES/20080809_NIH_EWY_POS_002501.CDF	Data transformation	20080809_NIH_EWY_POS_002501	FILES/20080809_NIH_EWY_POS_0025.mzML	Metabolite identification	20080809_NIH_EWY_POS_002501	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_002601	Extraction		none	20080809_NIH_EWY_POS_002601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_002601	FILES/20080809_NIH_EWY_POS_002601.CDF	Data transformation	20080809_NIH_EWY_POS_002601	FILES/20080809_NIH_EWY_POS_0026.mzML	Metabolite identification	20080809_NIH_EWY_POS_002601	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_002701	Extraction		none	20080809_NIH_EWY_POS_002701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_002701	FILES/20080809_NIH_EWY_POS_002701.CDF	Data transformation	20080809_NIH_EWY_POS_002701	FILES/20080809_NIH_EWY_POS_0027.mzML	Metabolite identification	20080809_NIH_EWY_POS_002701	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_002801	Extraction		none	20080809_NIH_EWY_POS_002801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_002801	FILES/20080809_NIH_EWY_POS_002801.CDF	Data transformation	20080809_NIH_EWY_POS_002801	FILES/20080809_NIH_EWY_POS_0028.mzML	Metabolite identification	20080809_NIH_EWY_POS_002801	m_MTBLS28_POS_v2_maf.tsv
20080809_NIH_EWY_POS_002901	Extraction		none	20080809_NIH_EWY_POS_002901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	positive	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20080809_NIH_EWY_POS_002901	FILES/20080809_NIH_EWY_POS_002901.CDF	Data transformation	20080809_NIH_EWY_POS_002901	FILES/20080809_NIH_EWY_POS_0029.mzML	Metabolite identification	20080809_NIH_EWY_POS_002901	m_MTBLS28_POS_v2_maf.tsv
