Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20081009_NIH_EWY_NEG_002001	Extraction		none	20081009_NIH_EWY_NEG_002001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_002001	FILES/20081009_NIH_EWY_NEG_002001.CDF	Data transformation	20081009_NIH_EWY_NEG_002001	FILES/20081009_NIH_EWY_NEG_0020.mzML	Metabolite identification	20081009_NIH_EWY_NEG_002001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_002101	Extraction		none	20081009_NIH_EWY_NEG_002101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_002101	FILES/20081009_NIH_EWY_NEG_002101.CDF	Data transformation	20081009_NIH_EWY_NEG_002101	FILES/20081009_NIH_EWY_NEG_0021.mzML	Metabolite identification	20081009_NIH_EWY_NEG_002101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_002201	Extraction		none	20081009_NIH_EWY_NEG_002201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_002201	FILES/20081009_NIH_EWY_NEG_002201.CDF	Data transformation	20081009_NIH_EWY_NEG_002201	FILES/20081009_NIH_EWY_NEG_0022.mzML	Metabolite identification	20081009_NIH_EWY_NEG_002201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_002301	Extraction		none	20081009_NIH_EWY_NEG_002301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_002301	FILES/20081009_NIH_EWY_NEG_002301.CDF	Data transformation	20081009_NIH_EWY_NEG_002301	FILES/20081009_NIH_EWY_NEG_0023.mzML	Metabolite identification	20081009_NIH_EWY_NEG_002301	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_002401	Extraction		none	20081009_NIH_EWY_NEG_002401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_002401	FILES/20081009_NIH_EWY_NEG_002401.CDF	Data transformation	20081009_NIH_EWY_NEG_002401	FILES/20081009_NIH_EWY_NEG_0024.mzML	Metabolite identification	20081009_NIH_EWY_NEG_002401	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_002501	Extraction		none	20081009_NIH_EWY_NEG_002501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_002501	FILES/20081009_NIH_EWY_NEG_002501.CDF	Data transformation	20081009_NIH_EWY_NEG_002501	FILES/20081009_NIH_EWY_NEG_0025.mzML	Metabolite identification	20081009_NIH_EWY_NEG_002501	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_002601	Extraction		none	20081009_NIH_EWY_NEG_002601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_002601	FILES/20081009_NIH_EWY_NEG_002601.CDF	Data transformation	20081009_NIH_EWY_NEG_002601	FILES/20081009_NIH_EWY_NEG_0026.mzML	Metabolite identification	20081009_NIH_EWY_NEG_002601	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_002701	Extraction		none	20081009_NIH_EWY_NEG_002701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_002701	FILES/20081009_NIH_EWY_NEG_002701.CDF	Data transformation	20081009_NIH_EWY_NEG_002701	FILES/20081009_NIH_EWY_NEG_0027.mzML	Metabolite identification	20081009_NIH_EWY_NEG_002701	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_002801	Extraction		none	20081009_NIH_EWY_NEG_002801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_002801	FILES/20081009_NIH_EWY_NEG_002801.CDF	Data transformation	20081009_NIH_EWY_NEG_002801	FILES/20081009_NIH_EWY_NEG_0028.mzML	Metabolite identification	20081009_NIH_EWY_NEG_002801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_002901	Extraction		none	20081009_NIH_EWY_NEG_002901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_002901	FILES/20081009_NIH_EWY_NEG_002901.CDF	Data transformation	20081009_NIH_EWY_NEG_002901	FILES/20081009_NIH_EWY_NEG_0029.mzML	Metabolite identification	20081009_NIH_EWY_NEG_002901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_003001	Extraction		none	20081009_NIH_EWY_NEG_003001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_003001	FILES/20081009_NIH_EWY_NEG_003001.CDF	Data transformation	20081009_NIH_EWY_NEG_003001	FILES/20081009_NIH_EWY_NEG_0030.mzML	Metabolite identification	20081009_NIH_EWY_NEG_003001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_003101	Extraction		none	20081009_NIH_EWY_NEG_003101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_003101	FILES/20081009_NIH_EWY_NEG_003101.CDF	Data transformation	20081009_NIH_EWY_NEG_003101	FILES/20081009_NIH_EWY_NEG_0031.mzML	Metabolite identification	20081009_NIH_EWY_NEG_003101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_003201	Extraction		none	20081009_NIH_EWY_NEG_003201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_003201	FILES/20081009_NIH_EWY_NEG_003201.CDF	Data transformation	20081009_NIH_EWY_NEG_003201	FILES/20081009_NIH_EWY_NEG_0032.mzML	Metabolite identification	20081009_NIH_EWY_NEG_003201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_003501	Extraction		none	20081009_NIH_EWY_NEG_003501	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_003501	FILES/20081009_NIH_EWY_NEG_003501.CDF	Data transformation	20081009_NIH_EWY_NEG_003501	FILES/20081009_NIH_EWY_NEG_0035.mzML	Metabolite identification	20081009_NIH_EWY_NEG_003501	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_003601	Extraction		none	20081009_NIH_EWY_NEG_003601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_003601	FILES/20081009_NIH_EWY_NEG_003601.CDF	Data transformation	20081009_NIH_EWY_NEG_003601	FILES/20081009_NIH_EWY_NEG_0036.mzML	Metabolite identification	20081009_NIH_EWY_NEG_003601	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_003701	Extraction		none	20081009_NIH_EWY_NEG_003701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_003701	FILES/20081009_NIH_EWY_NEG_003701.CDF	Data transformation	20081009_NIH_EWY_NEG_003701	FILES/20081009_NIH_EWY_NEG_0037.mzML	Metabolite identification	20081009_NIH_EWY_NEG_003701	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_003801	Extraction		none	20081009_NIH_EWY_NEG_003801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_003801	FILES/20081009_NIH_EWY_NEG_003801.CDF	Data transformation	20081009_NIH_EWY_NEG_003801	FILES/20081009_NIH_EWY_NEG_0038.mzML	Metabolite identification	20081009_NIH_EWY_NEG_003801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_003901	Extraction		none	20081009_NIH_EWY_NEG_003901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_003901	FILES/20081009_NIH_EWY_NEG_003901.CDF	Data transformation	20081009_NIH_EWY_NEG_003901	FILES/20081009_NIH_EWY_NEG_0039.mzML	Metabolite identification	20081009_NIH_EWY_NEG_003901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_004001	Extraction		none	20081009_NIH_EWY_NEG_004001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_004001	FILES/20081009_NIH_EWY_NEG_004001.CDF	Data transformation	20081009_NIH_EWY_NEG_004001	FILES/20081009_NIH_EWY_NEG_0040.mzML	Metabolite identification	20081009_NIH_EWY_NEG_004001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_004201	Extraction		none	20081009_NIH_EWY_NEG_004201	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_004201	FILES/20081009_NIH_EWY_NEG_004201.CDF	Data transformation	20081009_NIH_EWY_NEG_004201	FILES/20081009_NIH_EWY_NEG_0042.mzML	Metabolite identification	20081009_NIH_EWY_NEG_004201	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_004301	Extraction		none	20081009_NIH_EWY_NEG_004301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_004301	FILES/20081009_NIH_EWY_NEG_004301.CDF	Data transformation	20081009_NIH_EWY_NEG_004301	FILES/20081009_NIH_EWY_NEG_0043.mzML	Metabolite identification	20081009_NIH_EWY_NEG_004301	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_004401	Extraction		none	20081009_NIH_EWY_NEG_004401	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_004401	FILES/20081009_NIH_EWY_NEG_004401.CDF	Data transformation	20081009_NIH_EWY_NEG_004401	FILES/20081009_NIH_EWY_NEG_0044.mzML	Metabolite identification	20081009_NIH_EWY_NEG_004401	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_004601	Extraction		none	20081009_NIH_EWY_NEG_004601	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_004601	FILES/20081009_NIH_EWY_NEG_004601.CDF	Data transformation	20081009_NIH_EWY_NEG_004601	FILES/20081009_NIH_EWY_NEG_0046.mzML	Metabolite identification	20081009_NIH_EWY_NEG_004601	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_004701	Extraction		none	20081009_NIH_EWY_NEG_004701	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_004701	FILES/20081009_NIH_EWY_NEG_004701.CDF	Data transformation	20081009_NIH_EWY_NEG_004701	FILES/20081009_NIH_EWY_NEG_0047.mzML	Metabolite identification	20081009_NIH_EWY_NEG_004701	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_004801	Extraction		none	20081009_NIH_EWY_NEG_004801	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_004801	FILES/20081009_NIH_EWY_NEG_004801.CDF	Data transformation	20081009_NIH_EWY_NEG_004801	FILES/20081009_NIH_EWY_NEG_0048.mzML	Metabolite identification	20081009_NIH_EWY_NEG_004801	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_004901	Extraction		none	20081009_NIH_EWY_NEG_004901	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_004901	FILES/20081009_NIH_EWY_NEG_004901.CDF	Data transformation	20081009_NIH_EWY_NEG_004901	FILES/20081009_NIH_EWY_NEG_0049.mzML	Metabolite identification	20081009_NIH_EWY_NEG_004901	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_005001	Extraction		none	20081009_NIH_EWY_NEG_005001	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_005001	FILES/20081009_NIH_EWY_NEG_005001.CDF	Data transformation	20081009_NIH_EWY_NEG_005001	FILES/20081009_NIH_EWY_NEG_0050.mzML	Metabolite identification	20081009_NIH_EWY_NEG_005001	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_005101	Extraction		none	20081009_NIH_EWY_NEG_005101	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_005101	FILES/20081009_NIH_EWY_NEG_005101.CDF	Data transformation	20081009_NIH_EWY_NEG_005101	FILES/20081009_NIH_EWY_NEG_0051.mzML	Metabolite identification	20081009_NIH_EWY_NEG_005101	m_MTBLS28_NEG_v2_maf.tsv
20081009_NIH_EWY_NEG_005301	Extraction		none	20081009_NIH_EWY_NEG_005301	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC BEH C18 (1.7 μm, 2.1 mm × 50 mm; Waters)	reverse phase					Mass spectrometry	negative	50-850	Waters Q-Tof Premier			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20081009_NIH_EWY_NEG_005301	FILES/20081009_NIH_EWY_NEG_005301.CDF	Data transformation	20081009_NIH_EWY_NEG_005301	FILES/20081009_NIH_EWY_NEG_0053.mzML	Metabolite identification	20081009_NIH_EWY_NEG_005301	m_MTBLS28_NEG_v2_maf.tsv
